pup_tagleft,dam_origin_tag_left,dam_rearing_tag_left,pup_alpha_taglft,dam_origin_alpha_taglft,dam_rearing_alpha_taglft
41893,34446,34622,D1893,C4446,C4622
41895,34215,36627,D1895,C4215,C6627
41898,36627,36627,D1898,C6627,C6627
41899,34215,36627,D1899,C4215,C6627
41926,41136,41136,D1926,D1136,D1136
41928,20861,41136,D1928,B0861,D1136
41930,20861,20861,D1930,B0861,B0861
41932,41136,20861,D1932,D1136,B0861
41934,20861,20861,D1934,B0861,B0861
41936,19243,19243,D1936,A9243,A9243
41938,19679,19243,D1938,A9679,A9243
41940,19679,19679,D1940,A9679,A9679
41942,19243,19679,D1942,A9243,A9679
41944,36639,36639,D1944,C6639,C6639
41946,22439,36639,D1946,B2439,C6639
41948,22439,36639,D1948,B2439,C6639
41951,22439,22439,D1951,B2439,B2439
41951,36639,22439,D1951,C6639,B2439
41953,36639,22439,D1953,C6639,B2439
41957,29467,29467,D1957,B9467,B9467
41959,27866,29467,D1959,B7866,B9467
41961,27866,27866,D1961,B7866,B7866
41963,29467,27866,D1963,B9467,B7866
41965,36641,19222,D1965,C6641,A9222
41967,19222,19222,D1967,A9222,A9222
41969,19222,36641,D1969,A9222,C6641
41971,36641,36641,D1971,C6641,C6641
41973,19222,36641,D1973,A9222,C6641
42407,42220,42259,D2407,D2220,D2259
42407,42220,42259,D2407,D2220,D2259
42409,42259,42259,D2409,D2259,D2259
42409,42259,42259,D2409,D2259,D2259
42411,42220,42220,D2411,D2220,D2220
42411,42220,42220,D2411,D2220,D2220
42413,42259,42220,D2413,D2259,D2220
42413,42259,42220,D2413,D2259,D2220
42415,42220,42220,D2415,D2220,D2220
42415,42220,42220,D2415,D2220,D2220
42418,23948,42098,D2418,B3948,D2098
42418,23948,42098,D2418,B3948,D2098
42420,42098,42098,D2420,D2098,D2098
42420,42098,42098,D2420,D2098,D2098
42422,42098,23948,D2422,D2098,B3948
42422,42098,23948,D2422,D2098,B3948
42424,23948,23948,D2424,B3948,B3948
42424,23948,23948,D2424,B3948,B3948
42426,23948,23948,D2426,B3948,B3948
42426,23948,23948,D2426,B3948,B3948
42428,19535,22463,D2428,A9535,B2463
42428,19535,22463,D2428,A9535,B2463
42430,22463,22463,D2430,B2463,B2463
42430,22463,22463,D2430,B2463,B2463
42432,19535,19535,D2432,A9535,A9535
42432,19535,19535,D2432,A9535,A9535
42434,22463,19535,D2434,B2463,A9535
42434,22463,19535,D2434,B2463,A9535
42436,34278,34278,D2436,C4278,C4278
42436,34278,34278,D2436,C4278,C4278
42438,22640,34278,D2438,B2640,C4278
42438,22640,34278,D2438,B2640,C4278
42440,42242,42242,D2440,D2242,D2242
42440,42242,42242,D2440,D2242,D2242
42442,16998,42242,D2442,A6998,D2242
42442,16998,42242,D2442,A6998,D2242
42444,23972,36638,D2444,B3972,C6638
42444,23972,36638,D2444,B3972,C6638
42446,36638,36638,D2446,C6638,C6638
42446,36638,36638,D2446,C6638,C6638
42448,36638,36638,D2448,C6638,C6638
42448,36638,36638,D2448,C6638,C6638
42450,22776,22776,D2450,B2776,B2776
42450,22776,22776,D2450,B2776,B2776
42452,23964,22776,D2452,B3964,B2776
42452,23964,22776,D2452,B3964,B2776
42454,22776,22776,D2454,B2776,B2776
42454,22776,22776,D2454,B2776,B2776
42456,23964,23964,D2456,B3964,B3964
42456,23964,23964,D2456,B3964,B3964
42458,22776,23964,D2458,B2776,B3964
42458,22776,23964,D2458,B2776,B3964
42460,42713,19470,D2460,D2713,A9470
42460,42713,19470,D2460,D2713,A9470
42462,19470,19470,D2462,A9470,A9470
42462,19470,19470,D2462,A9470,A9470
42464,42713,19470,D2464,D2713,A9470
42464,42713,19470,D2464,D2713,A9470
42466,19470,42713,D2466,A9470,D2713
42466,19470,42713,D2466,A9470,D2713
42468,19470,42713,D2468,A9470,D2713
42468,19470,42713,D2468,A9470,D2713
42470,42713,42713,D2470,D2713,D2713
42470,42713,42713,D2470,D2713,D2713
42472,42270,42280,D2472,D2270,D2280
42472,42270,42280,D2472,D2270,D2280
42474,42280,42280,D2474,D2280,D2280
42474,42280,42280,D2474,D2280,D2280
42476,42270,42280,D2476,D2270,D2280
42476,42270,42280,D2476,D2270,D2280
42478,36867,36853,D2478,C6867,C6853
42478,36867,36853,D2478,C6867,C6853
42480,36867,36853,D2480,C6867,C6853
42480,36867,36853,D2480,C6867,C6853
42482,36853,36853,D2482,C6853,C6853
42482,36853,36853,D2482,C6853,C6853
42484,19259,22984,D2484,A9259,B2984
42484,19259,22984,D2484,A9259,B2984
42486,22984,22984,D2486,B2984,B2984
42486,22984,22984,D2486,B2984,B2984
42488,22984,19259,D2488,B2984,A9259
42488,22984,19259,D2488,B2984,A9259
42490,19259,19259,D2490,A9259,A9259
42490,19259,19259,D2490,A9259,A9259
42492,19327,19271,D2492,A9327,A9271
42492,19327,19271,D2492,A9327,A9271
42494,19327,19271,D2494,A9327,A9271
42494,19327,19271,D2494,A9327,A9271
42496,19327,19327,D2496,A9327,A9327
42496,19327,19327,D2496,A9327,A9327
42498,19271,19327,D2498,A9271,A9327
42498,19271,19327,D2498,A9271,A9327
42500,19271,19327,D2500,A9271,A9327
42500,19271,19327,D2500,A9271,A9327
42641,36801,19533,D2641,C6801,A9533
42641,36801,19533,D2641,C6801,A9533
42643,36801,19533,D2643,C6801,A9533
42643,36801,19533,D2643,C6801,A9533
42645,19533,19533,D2645,A9533,A9533
42645,19533,19533,D2645,A9533,A9533
42652,42244,42244,D2652,D2244,D2244
42652,42244,42244,D2652,D2244,D2244
42654,42264,42244,D2654,D2264,D2244
42654,42264,42244,D2654,D2264,D2244
42656,42376,42376,D2656,D2376,D2376
42656,42376,42376,D2656,D2376,D2376
42658,42376,42376,D2658,D2376,D2376
42658,42376,42376,D2658,D2376,D2376
42660,29404,42376,D2660,B9404,D2376
42660,29404,42376,D2660,B9404,D2376
42668,22457,36022,D2668,B2457,C6022
42668,22457,36022,D2668,B2457,C6022
42670,22457,36022,D2670,B2457,C6022
42670,22457,36022,D2670,B2457,C6022
42686,41164,41058,D2686,D1164,D1058
42686,41164,41058,D2686,D1164,D1058
42688,41164,41058,D2688,D1164,D1058
42688,41164,41058,D2688,D1164,D1058
42690,41058,41058,D2690,D1058,D1058
42690,41058,41058,D2690,D1058,D1058
42692,41058,41164,D2692,D1058,D1164
42692,41058,41164,D2692,D1058,D1164
42694,41164,41164,D2694,D1164,D1164
42694,41164,41164,D2694,D1164,D1164
42696,41058,41164,D2696,D1058,D1164
42696,41058,41164,D2696,D1058,D1164
42791,19301,19301,D2791,A9301,A9301
42791,19301,19301,D2791,A9301,A9301
42793,19214,19301,D2793,A9214,A9301
42793,19214,19301,D2793,A9214,A9301
42796,19214,19214,D2796,A9214,A9214
42796,19214,19214,D2796,A9214,A9214
42798,19301,19214,D2798,A9301,A9214
42798,19301,19214,D2798,A9301,A9214
42800,19214,19214,D2800,A9214,A9214
42800,19214,19214,D2800,A9214,A9214
42902,42754,22943,D2902,D2754,B2943
42902,42754,22943,D2902,D2754,B2943
42904,22943,22943,D2904,B2943,B2943
42904,22943,22943,D2904,B2943,B2943
42906,22943,22943,D2906,B2943,B2943
42906,22943,22943,D2906,B2943,B2943
42910,22943,42754,D2910,B2943,D2754
42910,22943,42754,D2910,B2943,D2754
42912,42754,42754,D2912,D2754,D2754
42912,42754,42754,D2912,D2754,D2754
42913,19406,19406,D2913,A9406,A9406
42913,19406,19406,D2913,A9406,A9406
42915,42093,19406,D2915,D2093,A9406
42915,42093,19406,D2915,D2093,A9406
42917,42093,19406,D2917,D2093,A9406
42917,42093,19406,D2917,D2093,A9406
42919,36077,36077,D2919,C6077,C6077
42919,36077,36077,D2919,C6077,C6077
42921,36643,36077,D2921,C6643,C6077
42921,36643,36077,D2921,C6643,C6077
42923,36643,36077,D2923,C6643,C6077
42923,36643,36077,D2923,C6643,C6077
42925,36077,36643,D2925,C6077,C6643
42925,36077,36643,D2925,C6077,C6643
42927,36077,36643,D2927,C6077,C6643
42927,36077,36643,D2927,C6077,C6643
42929,36643,36643,D2929,C6643,C6643
42929,36643,36643,D2929,C6643,C6643
42931,42099,42099,D2931,D2099,D2099
42931,42099,42099,D2931,D2099,D2099
42933,42099,42099,D2933,D2099,D2099
42933,42099,42099,D2933,D2099,D2099
42935,41078,42099,D2935,D1078,D2099
42935,41078,42099,D2935,D1078,D2099
42937,41078,42099,D2937,D1078,D2099
42937,41078,42099,D2937,D1078,D2099
42939,42099,41078,D2939,D2099,D1078
42939,42099,41078,D2939,D2099,D1078
42941,41078,41078,D2941,D1078,D1078
42941,41078,41078,D2941,D1078,D1078
42943,42099,41078,D2943,D2099,D1078
42943,42099,41078,D2943,D2099,D1078
42945,34793,36370,D2945,C4793,C6370
